,highly_variable
Vangl2,False
Nhlh1,False
Ncstn,False
Copa,False
Pex19,False
Dcaf8,False
Pea15a,False
Casq1,False
Gm17224,False
Igsf8,False
Atp1a2,True
Kcnj9,False
Gm36937,False
Kcnj10,True
Pigm,False
Slamf9,False
Igsf9,False
Tagln2,True
Cfap45,False
Vsig8,False
Slamf8,False
Dusp23,False
Ackr1,False
Cadm3,False
Aim2,False
Ifi206,False
Ifi209,False
Ifi207,True
Ifi204,False
Mndal,False
Ifi211,False
Ifi203,False
Spta1,False
Fmn2,False
Grem2,False
Rgs7,False
Fh1,False
Kmo,False
Opn3,False
Chml,False
Exo1,False
Pld5,False
Rbm8a2,False
Gm38101,False
Cep170,False
Sdccag8,False
Gm15423,False
Akt3,False
Gm26801,False
Zbtb18,True
1700016C15Rik,False
Adss,False
Catspere2,False
Desi2,False
B230369F24Rik,False
Cox20,False
Hnrnpu,False
Efcab2,False
Kif26b,False
Smyd3,False
Tfb2m,False
Cnst,False
Sccpdh,False
Kif28,False
Ahctf1,False
Cdc42bpa,False
Coq8a,False
Gm37336,False
Psen2,False
Itpkb,True
Stum,True
Parp1,False
Lin9,False
Acbd3,False
Gm37768,False
H3f3a,False
Gm17275,False
H3f3aos,False
Sde2,False
Lefty2,False
Pycr2,False
Lefty1,True
Tmem63a,True
Ephx1,False
Nvl,False
Cnih4,False
Wdr26,False
A430110L20Rik,False
Cnih3,True
Ccdc121,False
Dnah14,False
Lbr,False
Enah,False
Srp9,False
Degs1,False
1700047M11Rik,True
Fbxo28,False
Trp53bp2,True
Capn2,False
Gm37885,False
Susd4,False
Gm38079,False
Disp1,False
Brox,False
Aida,False
Mia3,False
Taf1a,False
Gm37986,False
Hhipl2,False
Gm33973,False
Dusp10,True
1700056E22Rik,False
Hlx,False
Gm34342,False
Marc1,False
Marc2,False
C130074G19Rik,False
Mark1,False
Rab3gap2,False
Iars2,False
Bpnt1,False
4930532G15Rik,False
Eprs,False
9630028B13Rik,False
Gm2061,False
Slc30a10,False
Lyplal1,False
Tgfb2,False
Rrp15,False
A430105J06Rik,False
Spata17,False
1700007P06Rik,False
Gpatch2,False
Esrrg,False
Gm36388,False
Kctd3,False
Kcnk2,False
A430027H14Rik,False
Cenpf,False
Ptpn14,False
Gm37422,False
Smyd2,False
Prox1,True
Gm28172,False
Prox1os,True
Rps6kc1,False
Angel2,False
Vash2,False
Flvcr1,False
Spata45,False
Tatdn3,False
Nsl1,True
Batf3,False
Atf3,False
D730003I15Rik,False
Gm37168,False
Nenf,False
Tmem206,False
Ppp2r5a,False
Gm32200,False
Dtl,False
Ints7,False
Lpgat1,False
Gm38037,False
Nek2,True
1700034H15Rik,False
Slc30a1,False
Rd3,True
Gm26670,False
Traf5,False
Gm26879,False
Rcor3,False
Gm10516,False
Kcnh1,False
Hhat,False
Sertad4,False
Gm15867,False
Syt14,False
Gm31406,False
Diexf,False
Irf6,False
A130010J15Rik,False
Traf3ip3,False
Lamb3,False
Hsd11b1,True
G0s2,False
Camk1g,False
Plxna2,False
Cd34,True
