Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster
GO_Biological_Process_2023,Gene Expression (GO:0010467),19/296,4.3372667735968295e-16,7.928523662135006e-14,0,0,16.617061104425726,587.8138655960129,RPL5;RPL30;RPS9;RPLP1;RPLP0;RPSA;RPL7;RPS15;EEF1A1;RPS14;RPL18A;RPL37A;RPS3;RPLP2;RPL13;RPS20;RPL28;RPS21;RPS23,7
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,16/200,3.516167617125985e-15,1.1603353136515754e-13,0,0,20.40993788819876,679.271403647836,FOXC2;TAGLN;SPARC;IGFBP2;FN1;DCN;COL1A1;ACTA2;COL3A1;COL1A2;MGP;SPP1;TIMP3;VIM;FMOD;MYL9,5
GO_Biological_Process_2023,Signal Release From Synapse (GO:0099643),8/38,1.2688682572391311e-11,1.2308022095219572e-08,0,0,57.594202898550726,1445.056442697466,SNAP25;RAB3A;SYT1;STXBP1;CPLX1;SYN1;STX1A;VAMP2,8
GO_Biological_Process_2023,Signal Release From Synapse (GO:0099643),8/38,1.2688682572391311e-11,1.3817975321334138e-08,0,0,57.594202898550726,1445.056442697466,SNAP25;RAB3A;SYT1;STXBP1;SYN2;SYN1;VAMP2;SNCA,13
GO_Biological_Process_2023,Neurotransmitter Secretion (GO:0007269),8/43,3.6862284799402856e-11,1.787820812771039e-08,0,0,49.35403726708075,1185.673108696565,SNAP25;RAB3A;SYT1;STXBP1;CPLX1;SYN1;STX1A;VAMP2,8
GO_Biological_Process_2023,Neurotransmitter Secretion (GO:0007269),8/43,3.6862284799402856e-11,2.007151407327485e-08,0,0,49.35403726708075,1185.673108696565,SNAP25;RAB3A;SYT1;STXBP1;SYN2;SYN1;VAMP2;SNCA,13
GO_Biological_Process_2023,Myelination (GO:0042552),8/48,9.398156584218372e-11,7.292969509353456e-08,0,0,43.17391304347826,996.7959566837154,MYRF;PLLP;PLP1;MAL;SOX10;GPM6B;SIRT2;BCAS1,6
GO_Biological_Process_2023,Signal Release From Synapse (GO:0099643),7/38,7.015930824950525e-10,6.903675931751317e-07,0,0,48.24245577523413,1016.8384438797892,SNAP25;RAB3A;SYT1;STXBP1;SYN1;VAMP2;SNCA,14
GO_Biological_Process_2023,Synaptic Vesicle Recycling (GO:0036465),7/44,2.078922419697571e-09,7.546488383502182e-07,0,0,40.40714908456844,807.7961325798182,RAB3A;SYT1;SNCB;AP2M1;DNM1;VAMP2;SNCA,13
GO_Biological_Process_2023,Neurotransmitter Secretion (GO:0007269),7/43,1.7553180872502691e-09,8.636164989271324e-07,0,0,41.53166069295101,837.3038526964123,SNAP25;RAB3A;SYT1;STXBP1;SYN1;VAMP2;SNCA,14
GO_Biological_Process_2023,Presynaptic Endocytosis (GO:0140238),6/31,8.931530269150024e-09,2.431609115776094e-06,0,0,50.74468085106383,940.4855798769996,SYT1;SNCB;AP2M1;DNM1;VAMP2;SNCA,13
GO_Biological_Process_2023,Positive Regulation Of Protein Dephosphorylation (GO:0035307),6/33,1.3327605124336031e-08,2.9027523960803877e-06,0,0,46.981087470449175,851.928184835787,HSP90AB1;CALM3;DYNLL1;CALM1;CALM2;PPIA,13
GO_Biological_Process_2023,Negative Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901020),6/30,7.2319343288532075e-09,3.5689595912890573e-06,0,0,52.861702127659576,990.879882282229,FKBP1A;PPP3CA;PPP3R1;CALM3;CALM1;CALM2,11
GO_Biological_Process_2023,Positive Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901021),6/27,3.649133337536311e-09,3.5689595912890573e-06,0,0,60.422492401215806,1173.935078642783,PPP3CA;PPP3R1;CALM3;ATP1B1;CALM1;CALM2,11
GO_Biological_Process_2023,Modulation Of Chemical Synaptic Transmission (GO:0050804),9/123,1.1128221635229806e-08,3.5981249953909706e-06,0,0,17.165413533834588,314.363632225756,APP;PPP3CA;MEF2C;SYT1;CLSTN1;CAMK2A;DLGAP1;CPLX1;SYN1,8
GO_Biological_Process_2023,"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",5/16,1.1809708936460002e-08,3.873584531158881e-06,0,0,95.16267942583733,1737.132272169839,COX8A;NDUFA4;COX4I1;COX6A1;COX6C,14
GO_Biological_Process_2023,Regulation Of Secretion By Cell (GO:1903530),7/64,3.1065652579427773e-08,5.022280500340822e-06,0,0,26.202791926051688,452.9719363056897,MEF2C;RAB3A;SYT1;CAMK2A;CPLX1;SYN1;VAMP2,8
