Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster
GO_Biological_Process_2023,Cellular Response To Type II Interferon (GO:0071346),4/66,0.00033432311010974254,0.007928233754031,0,0,13.331989247311828,106.70127789939,CAMK2A;CALM1;GAPDH;CX3CL1,0
GO_Biological_Process_2023,Negative Regulation Of Cation Channel Activity (GO:2001258),3/28,0.0003628213719805087,0.0084039554998275,0,0,24.587628865979383,194.773359177925,FKBP1A;CALM3;CALM2,0
GO_Biological_Process_2023,Regulation Of Striated Muscle Contraction (GO:0006942),3/29,0.0004032210189685461,0.0089246252198371,0,0,23.64076130055512,184.7767981808264,CALM3;CALM1;CALM2,0
GO_Biological_Process_2023,Glycolytic Process (GO:0006096),3/29,0.0004032210189685461,0.0089246252198371,0,0,23.64076130055512,184.7767981808264,LDHA;TPI1;GAPDH,0
GO_Biological_Process_2023,Regulation Of Protein Autophosphorylation (GO:0031952),3/31,0.0004924436798304106,0.0102461432156171,0,0,21.949926362297496,167.17350275311443,CALM3;CALM1;CALM2,0
GO_Biological_Process_2023,Presynaptic Endocytosis (GO:0140238),3/31,0.0004924436798304106,0.0102461432156171,0,0,21.949926362297496,167.17350275311443,DNM1;VAMP2;SNCA,0
GO_Biological_Process_2023,Anterograde Trans-Synaptic Signaling (GO:0098916),6/199,0.000493790034487572,0.0102461432156171,0,0,6.517583507882263,49.62097133821025,GRIA2;SST;SLC1A2;MAPK1;SYN2;SNCA,0
GO_Biological_Process_2023,Regulation Of Cyclic-Nucleotide Phosphodiesterase Activity (GO:0051342),2/7,0.0005113327792346296,0.0103936213901569,0,0,81.20408163265306,615.4043164173056,CALM3;CALM2,0
GO_Biological_Process_2023,Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901019),3/32,0.0005414210691078273,0.0107851076966279,0,0,21.191965872733736,159.39141404206077,FKBP1A;CALM1;CALM2,0
GO_Biological_Process_2023,Regulation Of MAPK Cascade (GO:0043408),6/204,0.0005627788019171534,0.0109907389550879,0,0,6.3513862024500325,47.52503418912509,PEBP1;MAPK1;PPIA;YWHAZ;CX3CL1;MAPK3,0
GO_Biological_Process_2023,Cellular Response To Metal Ion (GO:0071248),5/135,0.0005861755900727926,0.0112275170713942,0,0,8.004048582995951,59.56525848612224,MEF2C;CPNE6;MAPK1;SNCA;MAPK3,0
GO_Biological_Process_2023,Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667),4/77,0.0006019463184977087,0.0112403655577827,0,0,11.316780821917808,83.91780339915707,MEF2C;PLPPR4;APLP1;CCK,0
GO_Biological_Process_2023,Positive Regulation Of Protein Phosphorylation (GO:0001934),8/377,0.0006094174097593082,0.0112403655577827,0,0,4.602568634381996,34.0728483850309,MAPK1;CALM3;CALM1;PPIA;CALM2;CX3CL1;SNCA;MAPK3,0
GO_Biological_Process_2023,Regulation Of Neuronal Synaptic Plasticity (GO:0048168),3/34,0.0006484839479590657,0.0117434547666768,0,0,19.822746923844363,145.51627376631131,CAMK2A;NCDN;SYP,0
GO_Biological_Process_2023,Regulation Of Cytokinesis (GO:0032465),4/80,0.0006954983194111242,0.0123699343952407,0,0,10.86842105263158,79.02300659763786,PRKCE;CALM3;CALM1;CALM2,0
GO_Biological_Process_2023,Regulation Of High Voltage-Gated Calcium Channel Activity (GO:1901841),2/9,0.000870867194754317,0.0149548918271603,0,0,57.99708454810496,408.648679561366,CALM3;CALM1,0
GO_Biological_Process_2023,SNARE Complex Assembly (GO:0035493),2/9,0.000870867194754317,0.0149548918271603,0,0,57.99708454810496,408.648679561366,VAMP2;SNCA,0
GO_Biological_Process_2023,Regulation Of Neurotransmitter Secretion (GO:0046928),3/38,0.0009010656627178086,0.0149576900011156,0,0,17.55375552282769,123.08574753825548,MEF2C;CAMK2A;CPLX2,0
GO_Biological_Process_2023,Positive Regulation Of Cation Channel Activity (GO:2001259),3/38,0.0009010656627178086,0.0149576900011156,0,0,17.55375552282769,123.08574753825548,CALM3;CALM1;CALM2,0
GO_Biological_Process_2023,Positive Regulation Of Protein Modification Process (GO:0031401),6/225,0.0009380751444953064,0.0153167679330709,0,0,5.736228504809094,39.99115241490736,CALM3;CALM1;DYNLL1;PPIA;CALM2;MAPK3,0
GO_Biological_Process_2023,Regulation Of Vesicle-Mediated Transport (GO:0060627),4/89,0.0010375176629096,0.0165635595388628,0,0,9.713235294117649,66.73890423440267,MAPK1;CPLX2;VAMP2;MAPK3,0
GO_Biological_Process_2023,Synaptic Vesicle Endocytosis (GO:0048488),3/40,0.0010476950310726,0.0165635595388628,0,0,16.60323209807746,113.9174773737536,DNM1;VAMP2;SNCA,0
GO_Biological_Process_2023,Carbohydrate Catabolic Process (GO:0016052),3/41,0.0011263274602029,0.0172588023132643,0,0,16.16549104720564,109.74417204757296,LDHA;TPI1;GAPDH,0
GO_Biological_Process_2023,Synaptic Vesicle Exocytosis (GO:0016079),3/41,0.0011263274602029,0.0172588023132643,0,0,16.16549104720564,109.74417204757296,CPLX2;VAMP2;SNCA,0
GO_Biological_Process_2023,Cardiac Ventricle Morphogenesis (GO:0003208),3/42,0.0012085906045389,0.0182387309412243,0,0,15.750198255352895,105.81456304852416,FKBP1A;MEF2C;CPE,0
GO_Biological_Process_2023,Regulation Of Cytoplasmic Transport (GO:1903649),2/11,0.0013218400851343,0.0182854545110245,0,0,45.10430839002267,298.984305122014,MAPK1;MAPK3,0
GO_Biological_Process_2023,Negative Regulation Of Microtubule Polymerization (GO:0031115),2/11,0.0013218400851343,0.0182854545110245,0,0,45.10430839002267,298.984305122014,STMN1;SNCA,0
